name,marks
Student1,80
Student2,71
Student3,76
Student4,81
Student5,77
Student6,81
Student7,78
Student8,93
Student9,91
Student10,81
Student11,98
Student12,77
Student13,85
Student14,80
Student15,98
Student16,79
Student17,87
Student18,94
Student19,90
Student20,82
Student21,81
Student22,79
Student23,100
Student24,77
Student25,85
Student26,71
Student27,70
Student28,93
Student29,81
Student30,96
Student31,77
Student32,98
Student33,77
Student34,93
Student35,99
Student36,71
Student37,94
Student38,87
Student39,82
Student40,72
Student41,93
Student42,78
Student43,89
Student44,95
Student45,87
Student46,90
Student47,79
Student48,84
Student49,77
Student50,99
Student51,85
Student52,96
Student53,85
Student54,92
Student55,82
Student56,98
Student57,72
Student58,86
Student59,80
Student60,82
Student61,81
Student62,91
Student63,89
Student64,85
Student65,96
Student66,82
Student67,88
Student68,89
Student69,94
Student70,95
Student71,80
Student72,71
Student73,74
Student74,86
Student75,72
Student76,74
Student77,87
Student78,71
Student79,94
Student80,71
Student81,85
Student82,79
Student83,93
Student84,87
Student85,98
Student86,74
Student87,85
Student88,76
Student89,93
Student90,71
Student91,92
Student92,97
Student93,96
Student94,88
Student95,77
Student96,70
Student97,98
Student98,72
Student99,85
Student100,85
Student101,90
Student102,81
Student103,78
Student104,86
Student105,76
Student106,71
Student107,79
Student108,79
Student109,78
Student110,72
Student111,78
Student112,76
Student113,97
Student114,81
Student115,79
Student116,78
Student117,98
Student118,97
Student119,97
Student120,99
Student121,76
Student122,89
Student123,92
Student124,76
Student125,85
Student126,72
Student127,88
Student128,96
Student129,83
Student130,79
Student131,98
Student132,78
Student133,92
Student134,72
Student135,86
Student136,90
Student137,88
Student138,96
Student139,89
Student140,98
Student141,75
Student142,78
Student143,92
Student144,98
Student145,86
Student146,77
Student147,97
Student148,81
Student149,95
Student150,97
Student151,94
Student152,90
Student153,71
Student154,86
Student155,99
Student156,79
Student157,89
Student158,98
Student159,90
Student160,78
Student161,99
Student162,77
Student163,71
Student164,100
Student165,92
Student166,93
Student167,100
Student168,84
Student169,81
Student170,95
Student171,94
Student172,93
Student173,77
Student174,77
Student175,75
Student176,88
Student177,76
Student178,95
Student179,100
Student180,74
Student181,80
Student182,83
Student183,92
Student184,96
Student185,97
Student186,76
Student187,72
Student188,98
Student189,96
Student190,94
Student191,75
Student192,97
Student193,87
Student194,76
Student195,96
Student196,75
Student197,99
Student198,87
Student199,91
Student200,82
Student201,71
Student202,73
Student203,71
Student204,70
Student205,97
Student206,94
Student207,78
Student208,70
Student209,81
Student210,82
Student211,99
Student212,86
Student213,89
Student214,90
Student215,88
Student216,70
Student217,98
Student218,80
Student219,95
Student220,94
Student221,99
Student222,84
Student223,70
Student224,83
Student225,92
Student226,95
Student227,74
Student228,100
Student229,87
Student230,83
Student231,87
Student232,77
Student233,93
Student234,92
Student235,89
Student236,81
Student237,76
Student238,83
Student239,76
Student240,72
Student241,91
Student242,78
Student243,77
Student244,78
Student245,71
Student246,94
Student247,88
Student248,74
Student249,92
Student250,70
Student251,96
Student252,75
Student253,97
Student254,93
Student255,73
Student256,83
Student257,77
Student258,94
Student259,85
Student260,94
Student261,85
Student262,98
Student263,79
Student264,92
Student265,84
Student266,84
Student267,85
Student268,92
Student269,97
Student270,91
Student271,72
Student272,83
Student273,79
Student274,81
Student275,94
Student276,98
Student277,93
Student278,76
Student279,71
Student280,75
Student281,72
Student282,92
Student283,86
Student284,77
Student285,82
Student286,98
Student287,74
Student288,93
Student289,98
Student290,79
Student291,75
Student292,98
Student293,88
Student294,73
Student295,78
Student296,94
Student297,83
Student298,82
Student299,83
Student300,76
Student301,75
Student302,76
Student303,98
Student304,93
Student305,92
Student306,87
Student307,85
Student308,74
Student309,98
Student310,93
Student311,97
Student312,98
Student313,80
Student314,79
Student315,83
Student316,88
Student317,75
Student318,97
Student319,77
Student320,87
Student321,79
Student322,82
Student323,83
Student324,96
Student325,96
Student326,89
Student327,88
Student328,92
Student329,91
Student330,96
Student331,73
Student332,80
Student333,89
Student334,94
Student335,83
Student336,99
Student337,99
Student338,70
Student339,97
Student340,88
Student341,82
Student342,97
Student343,89
Student344,99
Student345,86
Student346,73
Student347,85
Student348,87
Student349,81
Student350,80
Student351,98
Student352,76
Student353,87
Student354,96
Student355,89
Student356,96
Student357,84
Student358,100
Student359,81
Student360,72
Student361,76
Student362,81
Student363,84
Student364,80
Student365,80
Student366,99
Student367,74
Student368,76
Student369,73
Student370,92
Student371,89
Student372,99
Student373,97
Student374,73
Student375,84
Student376,100
Student377,73
Student378,93
Student379,87
Student380,97
Student381,78
Student382,75
Student383,75
Student384,79
Student385,95
Student386,72
Student387,99
Student388,81
Student389,99
Student390,84
Student391,82
Student392,89
Student393,98
Student394,74
Student395,91
Student396,80
Student397,74
Student398,88
Student399,85
Student400,87
Student401,83
Student402,70
Student403,70
Student404,96
Student405,70
Student406,76
Student407,76
Student408,96
Student409,70
Student410,70
Student411,79
Student412,95
Student413,98
Student414,81
Student415,96
Student416,93
Student417,71
Student418,78
Student419,93
Student420,85
Student421,81
Student422,89
Student423,75
Student424,79
Student425,97
Student426,88
Student427,87
Student428,85
Student429,87
Student430,76
Student431,88
Student432,71
Student433,87
Student434,85
Student435,83
Student436,74
Student437,82
Student438,94
Student439,95
Student440,71
Student441,99
Student442,78
Student443,77
Student444,76
Student445,76
Student446,86
Student447,97
Student448,79
Student449,74
Student450,82
Student451,80
Student452,100
Student453,77
Student454,81
Student455,78
Student456,70
Student457,93
Student458,71
Student459,99
Student460,94
Student461,87
Student462,87
Student463,83
Student464,77
Student465,88
Student466,70
Student467,73
Student468,89
Student469,87
Student470,100
Student471,84
Student472,74
Student473,93
Student474,76
Student475,98
Student476,82
Student477,71
Student478,89
Student479,85
Student480,100
Student481,96
Student482,73
Student483,96
Student484,98
Student485,98
Student486,91
Student487,96
Student488,94
Student489,86
Student490,76
Student491,78
Student492,100
Student493,87
Student494,73
Student495,82
Student496,83
Student497,86
Student498,85
Student499,83
Student500,93
Student501,82
Student502,82
Student503,90
Student504,98
Student505,80
Student506,78
Student507,99
Student508,84
Student509,95
Student510,71
Student511,91
Student512,90
Student513,83
Student514,83
Student515,98
Student516,96
Student517,76
Student518,83
Student519,97
Student520,84
Student521,96
Student522,84
Student523,94
Student524,97
Student525,76
Student526,96
Student527,85
Student528,95
Student529,91
Student530,98
Student531,83
Student532,87
Student533,83
Student534,96
Student535,78
Student536,77
Student537,94
Student538,88
Student539,87
Student540,86
Student541,94
Student542,74
Student543,70
Student544,70
Student545,92
Student546,82
Student547,93
Student548,81
Student549,74
Student550,84
Student551,92
Student552,90
Student553,100
Student554,98
Student555,72
Student556,95
Student557,75
Student558,94
Student559,85
Student560,89
Student561,92
Student562,100
Student563,77
Student564,82
Student565,75
Student566,81
Student567,72
Student568,90
Student569,74
Student570,74
Student571,87
Student572,74
Student573,88
Student574,70
Student575,70
Student576,82
Student577,75
Student578,71
Student579,99
Student580,75
Student581,87
Student582,88
Student583,76
Student584,96
Student585,75
Student586,97
Student587,81
Student588,95
Student589,100
Student590,87
Student591,74
Student592,79
Student593,81
Student594,100
Student595,99
Student596,98
Student597,85
Student598,71
Student599,100
Student600,97
Student601,90
Student602,75
Student603,96
Student604,76
Student605,98
Student606,78
Student607,73
Student608,96
Student609,87
Student610,80
Student611,83
Student612,87
Student613,80
Student614,71
Student615,100
Student616,76
Student617,85
Student618,85
Student619,92
Student620,99
Student621,87
Student622,81
Student623,97
Student624,78
Student625,71
Student626,100
Student627,94
Student628,74
Student629,100
Student630,83
Student631,100
Student632,86
Student633,80
Student634,94
Student635,96
Student636,98
Student637,82
Student638,82
Student639,83
Student640,100
Student641,95
Student642,85
Student643,71
Student644,75
Student645,81
Student646,78
Student647,98
Student648,87
Student649,99
Student650,99
Student651,75
Student652,94
Student653,75
Student654,72
Student655,97
Student656,87
Student657,100
Student658,73
Student659,94
Student660,94
Student661,73
Student662,83
Student663,95
Student664,90
Student665,70
Student666,100
Student667,75
Student668,72
Student669,97
Student670,76
Student671,74
Student672,86
Student673,73
Student674,96
Student675,77
Student676,77
Student677,81
Student678,92
Student679,75
Student680,86
Student681,74
Student682,95
Student683,92
Student684,83
Student685,98
Student686,98
Student687,87
Student688,88
Student689,85
Student690,78
Student691,72
Student692,97
Student693,76
Student694,88
Student695,93
Student696,71
Student697,92
Student698,74
Student699,91
Student700,95
Student701,94
Student702,78
Student703,85
Student704,92
Student705,100
Student706,97
Student707,83
Student708,71
Student709,81
Student710,70
Student711,86
Student712,87
Student713,94
Student714,92
Student715,72
Student716,82
Student717,95
Student718,85
Student719,98
Student720,84
Student721,72
Student722,100
Student723,85
Student724,85
Student725,96
Student726,73
Student727,81
Student728,99
Student729,100
Student730,72
Student731,92
Student732,97
Student733,79
Student734,70
Student735,72
Student736,88
Student737,88
Student738,78
Student739,100
Student740,79
Student741,74
Student742,99
Student743,93
Student744,74
Student745,78
Student746,76
Student747,81
Student748,97
Student749,74
Student750,86
Student751,84
Student752,90
Student753,92
Student754,76
Student755,92
Student756,90
Student757,92
Student758,76
Student759,79
Student760,98
Student761,85
Student762,83
Student763,86
Student764,71
Student765,79
Student766,73
Student767,80
Student768,74
Student769,72
Student770,87
Student771,89
Student772,97
Student773,77
Student774,87
Student775,90
Student776,95
Student777,87
Student778,84
Student779,83
Student780,97
Student781,73
Student782,92
Student783,99
Student784,72
Student785,93
Student786,80
Student787,75
Student788,79
Student789,99
Student790,88
Student791,72
Student792,80
Student793,91
Student794,99
Student795,96
Student796,78
Student797,100
Student798,76
Student799,89
Student800,91
Student801,79
Student802,80
Student803,86
Student804,80
Student805,100
Student806,100
Student807,97
Student808,71
Student809,72
Student810,87
Student811,84
Student812,71
Student813,99
Student814,97
Student815,87
Student816,72
Student817,77
Student818,76
Student819,76
Student820,99
Student821,80
Student822,82
Student823,100
Student824,87
Student825,77
Student826,95
Student827,83
Student828,99
Student829,79
Student830,72
Student831,82
Student832,75
Student833,85
Student834,98
Student835,99
Student836,88
Student837,88
Student838,76
Student839,83
Student840,98
Student841,73
Student842,82
Student843,82
Student844,95
Student845,99
Student846,76
Student847,96
Student848,91
Student849,93
Student850,89
Student851,97
Student852,75
Student853,83
Student854,83
Student855,70
Student856,74
Student857,70
Student858,92
Student859,73
Student860,79
Student861,83
Student862,79
Student863,80
Student864,85
Student865,92
Student866,92
Student867,98
Student868,81
Student869,82
Student870,91
Student871,99
Student872,83
Student873,74
Student874,78
Student875,73
Student876,78
Student877,83
Student878,75
Student879,82
Student880,94
Student881,100
Student882,72
Student883,73
Student884,74
Student885,74
Student886,92
Student887,95
Student888,85
Student889,75
Student890,89
Student891,98
Student892,81
Student893,83
Student894,76
Student895,89
Student896,89
Student897,70
Student898,88
Student899,86
Student900,74
Student901,97
Student902,78
Student903,71
Student904,86
Student905,74
Student906,90
Student907,95
Student908,83
Student909,92
Student910,85
Student911,97
Student912,90
Student913,99
Student914,79
Student915,71
Student916,83
Student917,98
Student918,89
Student919,83
Student920,81
Student921,98
Student922,98
Student923,94
Student924,97
Student925,92
Student926,98
Student927,95
Student928,73
Student929,80
Student930,82
Student931,92
Student932,99
Student933,75
Student934,78
Student935,73
Student936,82
Student937,94
Student938,84
Student939,77
Student940,75
Student941,78
Student942,78
Student943,81
Student944,73
Student945,84
Student946,86
Student947,90
Student948,84
Student949,70
Student950,94
Student951,94
Student952,80
Student953,96
Student954,91
Student955,99
Student956,94
Student957,91
Student958,81
Student959,92
Student960,95
Student961,81
Student962,87
Student963,79
Student964,87
Student965,81
Student966,90
Student967,94
Student968,87
Student969,75
Student970,74
Student971,100
Student972,73
Student973,80
Student974,94
Student975,85
Student976,80
Student977,86
Student978,73
Student979,100
Student980,96
Student981,71
Student982,100
Student983,71
Student984,83
Student985,72
Student986,99
Student987,86
Student988,96
Student989,73
Student990,90
Student991,100
Student992,98
Student993,77
Student994,81
Student995,70
Student996,94
Student997,94
Student998,87
Student999,82
Student1000,93
Student1001,84
Student1002,98
Student1003,70
Student1004,85
Student1005,80
Student1006,95
Student1007,80
Student1008,89
Student1009,89
Student1010,89
Student1011,82
Student1012,88
Student1013,73
Student1014,89
Student1015,74
Student1016,81
Student1017,95
Student1018,84
Student1019,72
Student1020,100
Student1021,97
Student1022,94
Student1023,99
Student1024,70
Student1025,81
Student1026,88
Student1027,70
Student1028,79
Student1029,73
Student1030,89
Student1031,93
Student1032,96
Student1033,89
Student1034,73
Student1035,100
Student1036,100
Student1037,93
Student1038,89
Student1039,87
Student1040,98
Student1041,90
Student1042,98
Student1043,73
Student1044,96
Student1045,90
Student1046,73
Student1047,75
Student1048,82
Student1049,95
Student1050,74
Student1051,71
Student1052,87
Student1053,91
Student1054,84
Student1055,98
Student1056,74
Student1057,93
Student1058,98
Student1059,98
Student1060,93
Student1061,83
Student1062,85
Student1063,92
Student1064,78
Student1065,79
Student1066,83
Student1067,76
Student1068,83
Student1069,85
Student1070,92
Student1071,80
Student1072,71
Student1073,76
Student1074,94
Student1075,76
Student1076,75
Student1077,83
Student1078,74
Student1079,98
Student1080,74
Student1081,83
Student1082,100
Student1083,100
Student1084,89
Student1085,97
Student1086,100
Student1087,79
Student1088,94
Student1089,87
Student1090,88
Student1091,83
Student1092,88
Student1093,94
Student1094,76
Student1095,75
Student1096,87
Student1097,78
Student1098,81
Student1099,82
Student1100,97
Student1101,100
Student1102,71
Student1103,90
Student1104,88
Student1105,99
Student1106,78
Student1107,72
Student1108,98
Student1109,70
Student1110,98
Student1111,94
Student1112,75
Student1113,83
